FIRSTNAME,FREQUENCY
Aaliyah,1
Abigail,1
Agatha,1
Aileen,1
Aimee,1
Alice,1
Alicia,1
Allie,1
Allison,1
Amanda,1
Amber,1
Amelia,1
Amy,1
Amy Lynn,1
Anastasia,1
Andrea,1
Annabelle,1
Anne,1
Arcadia,1
Ariane,1
Arlene,1
Audrey,1
Barbara,1
Beatrice,1
Belinda,1
Beth,1
Bethany,1
Betsie,1
Betty,1
Blair,1
Blanche,1
Bonnie,1
Brianna,1
Bridget,1
Brooke,1
Buffy,1
Calista,1
Candy,1
Cassie,1
Cathy,1
Celeste,1
Charlotte,1
Chastity,1
Chrissie,1
Christina,1
Chynna,1
Cindy,1
Clarissa,1
Colleen,1
Constance,1
Corinne,1
Cynthia,1
Danielle,1
Darla,1
Deb,1
Debbie,1
Deirdre,1
Deja,1
Denise,1
Dinah,1
Donna,1
Dorene,1
Doris,1
Dorothy,1
Edina,1
Elizabeth,1
Ellen,1
Ellie,1
Elsie,1
Emily,1
Emmy,1
Erica,1
Eve,1
Evelyn,1
Farrah,1
Felice,1
Felicity,1
Fiona,1
Flossie,1
Francesca,1
Francine,1
Gabrielle,1
Gertrude,1
Gina,1
Ginger,1
Giselle,1
Glenda,1
Greta,1
Gwendolyn,1
Henrietta,1
Holly,1
Hope,1
Ilene,1
Imani,1
Imogene,1
Ingrid,1
Irene,1
Isabelle,1
Ivanka,1
Jacy,1
Jana,1
Jane,1
Janet,1
Jasmine,1
Jeannine,1
Jen,1
Jennifer,1
Jenny,1
Jerri,1
Jill,1
Jillian,1
Joan,1
Joanie,1
Joanna,1
Jodi,1
Julie,1
Kara,1
Karen,1
Kat,1
Kathleen,1
Katie,1
Kellie,1
Kerri Ann,1
Kiara,1
Kitty,1
Lakeisha,1
Lana,1
Latonya,1
Laura,1
Laurie,1
Leticia,1
Lettie,1
Lexie,1
Lois,1
Lorraine,1
Louise,1
Lynn,1
Maggie,1
Mandy,1
Margaret,1
Mary,1
Mary Anne,1
Meg,1
Megan,1
Millicent,1
Millie,1
Mindy,1
Molly,1
Mona,1
Monica,1
Muffy,1
Nancy,1
Nedra,1
Nevaeh,1
Nia,1
Nicole,1
Noreen,1
Norma,1
Paisley,1
Pam,1
Pamela,1
Pandora,1
Penelope,1
Phoebe,1
Phyllis,1
Polly,1
Precious,1
Priscilla,1
Rachel,1
Raven,1
Rhoda,1
Rhonda,1
Roxanne,1
Sabrina,1
Sally,1
Samantha,1
Sandra,1
Sara,1
Scarlett,1
Selena,1
Shalonda,1
Shanice,1
Sharon,1
Sherri,1
Sonya,1
Sophie,1
Sue,1
Susanna,1
Susie,1
Tabitha,1
Tammy,1
Tiana,1
Tiffany,1
Tina,1
Tish,1
Tonya,1
Tori,1
Tracie,1
Trina,1
Trisha,1
Trixie,1
Ursula,1
Valerie,1
Veronica,1
Vicki,1
Victoria,1
Violet,1
Vivian,1
Vonda,1
Wanda,1
Wendy,1
Wilma,1
Yvette,1
Yvonne,1
Zelda,1
Zennifer,1
