REGIONID,NAME,ABBREV,LATITUDE,LONGITUDE,FOOTBALL
0,No Region,ZZ,0,0,0
1,Alabama,AL,32907,-86798,27
2,Alaska,AK,61248,-152275,2
4,Arizona,AZ,33945,-111385,17
5,Arkansas,AR,35071,-92482,5
6,California,CA,36568,-120014,109
8,Colorado,CO,39192,-105493,12
9,Connecticut,CT,41598,-72727,10
10,Delaware,DE,38995,-75464,4
11,District of Columbia,DC,38913,-77024,4
12,Florida,FL,28684,-82425,92
13,Georgia,GA,32946,-83632,57
15,Hawaii,HI,20870,-157147,6
16,Idaho,ID,44560,-114795,4
17,Illinois,IL,40350,-89019,42
18,Indiana,IN,39930,-86241,21
19,Iowa,IA,42072,-93284,9
20,Kansas,KS,38420,-97152,7
21,Kentucky,KY,37584,-85042,9
22,Louisiana,LA,31015,-91889,29
23,Maine,ME,44582,-69425,2
24,Maryland,MD,39058,-76754,17
25,Massachusetts,MA,42239,-71523,11
26,Michigan,MI,43498,-84784,28
27,Minnesota,MN,45542,-94209,14
28,Mississippi,MS,32919,-89602,21
29,Missouri,MO,38289,-92483,15
30,Montana,MT,46978,-110776,2
31,Nebraska,NE,41258,-98255,6
32,Nevada,NV,38629,-117123,6
33,New Hampshire,NH,43392,-71579,2
34,New Jersey,NJ,40385,-74501,31
35,New Mexico,NM,34660,-106573,3
36,New York,NY,42326,-75179,37
37,North Carolina,NC,35578,-79386,30
38,North Dakota,ND,47435,-99809,2
39,Ohio,OH,40417,-82656,46
40,Oklahoma,OK,35461,-96960,10
41,Oregon,OR,44471,-122172,9
42,Pennsylvania,PA,40649,-77611,38
44,Rhode Island,RI,41685,-71523,2
45,South Carolina,SC,33947,-80985,20
46,South Dakota,SD,44112,-98876,3
47,Tennessee,TN,35848,-86220,22
48,Texas,TX,31361,-97620,88
49,Utah,UT,39770,-111817,11
50,Vermont,VT,44024,-72696,2
51,Virginia,VA,37626,-78693,20
53,Washington,WA,47333,-120953,15
54,West Virginia,WV,38628,-80830,2
55,Wisconsin,WI,44225,-89719,17
56,Wyoming,WY,43068,-107689,2
101,Alberta,AB,52695,-113775,0
102,British Columbia,BC,50559,-121959,0
103,Manitoba,MB,50708,-98491,0
104,New Brunswick,NB,46603,-66032,0
105,Newfoundland and Labrador,NL,48669,-55513,0
106,Nova Scotia,NS,44957,-63803,0
107,Northwest Territories,NT,64149,-123247,0
108,Nunavut,NU,66726,-85800,0
109,Ontario,ON,44576,-79788,0
110,Prince Edward Island,PE,46404,-63429,0
111,Québec,QC,46475,-72611,0
112,Saskatchewan,SK,51798,-105484,0
113,Yukon Territories,YT,61317,-135038,0
150,England,EN,52801,-1080,0
151,Wales,WL,52041,-3476,0
152,Scotland,SL,56278,-3586,0
153,Northern Ireland,NI,54639,-6302,0
